num, diff, time, interval, avg,malicious
321,27064962,1498818779,1,42.8,1
322,27051747,1498818843,64,45.1,1
323,27038539,1498818903,60,43.2,1
324,27051741,1498818914,11,42.6,1
325,27064949,1498818918,4,35.6,1
326,27078164,1498818929,11,34.8,1
327,27064943,1498818972,43,37.3,1
328,27078158,1498818976,4,35,1
329,27064937,1498819006,30,25.8,1
330,27051722,1498819090,84,31.2,1
331,27038514,1498819105,15,32.6,1
332,27025312,1498819176,71,33.3,1
333,27012117,1498819191,15,28.8,1
334,26998928,1498819244,53,33,1
335,26985745,1498819259,15,34.1,1
